diff_political_stability,diff_gdp_per_capita,diff_conflict_intensity,diff_elo_elo,diff_pdi,diff_idv,diff_mas,diff_uai,diff_lto,diff_ivr,diff_happiness_score,diff_is_host,diff_is_defending_champion,diff_legacy_weight,y
0.0,0.0,0.0,61.613919484177586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,111.5842573542784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
0.0,0.0,0.0,46.33894196989695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,96.30927983999777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2
0.0,0.0,0.0,177.52645589271492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4
0.0,0.0,0.0,21.863976100854416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,-19.994820440818103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,-1.0,47.419667474915514,-40.0,-91.0,-62.0,-46.0,-26.0,-68.0,-6.725,0.0,0.0,0.0,2
0.0,0.0,0.0,-117.18557150113452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,1
0.0,0.0,0.0,66.47888267335816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,132.91154932021118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,26.434115739227536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,1.0,-0.9907312948698745,40.0,91.0,62.0,46.0,26.0,68.0,6.725,0.0,0.0,0.0,1
0.0,0.0,0.0,8.467548195831341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,44.61490657250374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
0.0,0.0,-1.0,20.985551735687977,-40.0,-91.0,-62.0,-46.0,-26.0,-68.0,-6.725,0.0,0.0,0.0,3
0.0,0.0,0.0,46.42893618004564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,125.65311969696586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2
0.0,0.0,0.0,178.09564184222359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8
0.0,0.0,0.0,111.04757321935676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,69.63668347771772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6
0.0,0.0,0.0,97.41998048055757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,48.53072491225066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
0.0,0.0,0.0,118.52593904602463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,-21.105958565467063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,48.88925556830691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1
0.0,0.0,0.0,182.6304391903766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,69.77715080975054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,103.62522895533539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,106.26808404002554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2
0.0,0.0,0.0,-53.49657703278376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,1
0.0,0.0,0.0,145.58204555527095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
