feature,importance
away_perf_pass_accuracy_max,0.0
away_perf_pass_accuracy_mean,0.0
away_perf_total_passes_max,0.0
away_perf_total_passes_mean,0.0
away_perf_saves_max,0.0
away_perf_successful_passes_mean,0.0
away_perf_key_passes_max,0.0
away_perf_key_passes_mean,0.0
away_perf_expected_assists_xa_max,0.0
away_perf_expected_assists_xa_mean,0.0
away_perf_expected_goals_xg_max,0.0
away_perf_expected_goals_xg_mean,0.0
away_perf_shots_on_target_max,0.0
away_perf_shots_on_target_mean,0.0
away_perf_shots_max,0.0
away_perf_shots_mean,0.0
away_perf_assists_max,0.0
away_perf_successful_passes_max,0.0
away_perf_saves_mean,0.0
away_perf_offsides_max,0.0
away_perf_offsides_mean,0.0
away_perf_red_cards_max,0.0
away_perf_red_cards_mean,0.0
away_perf_yellow_cards_max,0.0
away_perf_yellow_cards_mean,0.0
away_perf_fouls_suffered_max,0.0
away_perf_fouls_suffered_mean,0.0
away_perf_fouls_committed_max,0.0
away_perf_fouls_committed_mean,0.0
away_perf_defensive_actions_max,0.0
away_perf_tackles_mean,0.0
away_perf_recoveries_max,0.0
away_perf_recoveries_mean,0.0
away_perf_aerial_duels_lost_max,0.0
away_perf_aerial_duels_lost_mean,0.0
away_perf_aerial_duels_won_max,0.0
away_perf_aerial_duels_won_mean,0.0
away_perf_blocks_max,0.0
away_perf_blocks_mean,0.0
away_perf_clearances_max,0.0
away_perf_clearances_mean,0.0
away_perf_interceptions_max,0.0
away_perf_interceptions_mean,0.0
away_perf_tackles_max,0.0
away_perf_defensive_actions_mean,0.0
diff_perf_offsides_mean,0.0
diff_perf_red_cards_max,0.0
diff_perf_red_cards_mean,0.0
diff_perf_yellow_cards_max,0.0
diff_perf_yellow_cards_mean,0.0
diff_perf_fouls_suffered_max,0.0
diff_perf_fouls_suffered_mean,0.0
diff_perf_fouls_committed_max,0.0
diff_perf_fouls_committed_mean,0.0
diff_perf_defensive_actions_max,0.0
diff_perf_defensive_actions_mean,0.0
diff_perf_goals_opponent_mean,0.0
diff_perf_recoveries_mean,0.0
diff_perf_aerial_duels_lost_max,0.0
diff_perf_aerial_duels_lost_mean,0.0
diff_perf_aerial_duels_won_max,0.0
diff_perf_aerial_duels_won_mean,0.0
diff_perf_blocks_max,0.0
diff_perf_blocks_mean,0.0
diff_perf_clearances_max,0.0
diff_perf_clearances_mean,0.0
diff_perf_interceptions_max,0.0
diff_perf_interceptions_mean,0.0
diff_perf_tackles_max,0.0
diff_perf_recoveries_max,0.0
diff_perf_player_rating_mean,0.0
diff_perf_stamina_score_max,0.0
diff_perf_stamina_score_mean,0.0
diff_perf_decelerations_max,0.0
diff_perf_decelerations_mean,0.0
diff_perf_accelerations_max,0.0
diff_perf_accelerations_mean,0.0
diff_perf_top_speed_kmh_max,0.0
diff_perf_top_speed_kmh_mean,0.0
diff_perf_sprint_distance_km_max,0.0
diff_perf_sprint_distance_km_mean,0.0
diff_perf_distance_covered_km_max,0.0
diff_perf_offsides_max,0.0
diff_perf_penalty_saves_max,0.0
diff_perf_penalty_saves_mean,0.0
diff_perf_goals_conceded_max,0.0
diff_perf_goals_conceded_mean,0.0
diff_perf_clean_sheet_max,0.0
diff_perf_clean_sheet_mean,0.0
diff_perf_punches_max,0.0
diff_perf_punches_mean,0.0
diff_perf_save_percentage_max,0.0
diff_perf_save_percentage_mean,0.0
diff_perf_saves_max,0.0
diff_perf_saves_mean,0.0
diff_perf_distance_covered_km_mean,0.0
diff_perf_goals_max,0.0
diff_perf_goals_mean,0.0
diff_perf_minutes_played_max,0.0
diff_perf_minutes_played_mean,0.0
diff_perf_goals_opponent_max,0.0
away_perf_total_goals_tournament_mean,0.0
away_perf_clutch_performance_score_max,0.0
away_perf_clutch_performance_score_mean,0.0
away_perf_consistency_score_max,0.0
away_perf_consistency_score_mean,0.0
away_perf_creativity_score_max,0.0
diff_perf_tackles_mean,0.0
away_perf_pressure_resistance_max,0.0
away_perf_pressure_resistance_mean,0.0
away_perf_possession_impact_max,0.0
away_perf_possession_impact_mean,0.0
away_perf_defensive_contribution_max,0.0
away_perf_defensive_contribution_mean,0.0
away_perf_offensive_contribution_max,0.0
diff_perf_passing_total,0.0
diff_perf_shooting_total,0.0
diff_perf_pace_total,0.0
diff_perf_potential,0.0
diff_perf_overall,0.0
away_perf_creativity_score_mean,0.0
diff_perf_successful_crosses_max,0.0
diff_perf_successful_crosses_mean,0.0
diff_perf_crosses_max,0.0
diff_perf_crosses_mean,0.0
diff_perf_successful_dribbles_max,0.0
diff_perf_successful_dribbles_mean,0.0
diff_perf_dribbles_attempted_max,0.0
diff_perf_dribbles_attempted_mean,0.0
diff_perf_pass_accuracy_max,0.0
diff_perf_pass_accuracy_mean,0.0
diff_perf_total_passes_max,0.0
diff_perf_total_passes_mean,0.0
diff_perf_assists_mean,0.0
diff_perf_successful_passes_mean,0.0
diff_perf_key_passes_max,0.0
diff_perf_key_passes_mean,0.0
diff_perf_expected_assists_xa_max,0.0
diff_perf_expected_assists_xa_mean,0.0
diff_perf_expected_goals_xg_max,0.0
diff_perf_expected_goals_xg_mean,0.0
diff_perf_shots_on_target_max,0.0
diff_perf_shots_on_target_mean,0.0
diff_perf_shots_max,0.0
diff_perf_shots_mean,0.0
diff_perf_assists_max,0.0
diff_perf_successful_passes_max,0.0
home_perf_crosses_mean,0.0
home_perf_successful_dribbles_max,0.0
home_perf_successful_dribbles_mean,0.0
home_perf_dribbles_attempted_max,0.0
home_perf_dribbles_attempted_mean,0.0
home_perf_pass_accuracy_max,0.0
home_perf_pass_accuracy_mean,0.0
home_perf_total_passes_max,0.0
home_perf_total_passes_mean,0.0
home_perf_successful_passes_max,0.0
home_perf_successful_passes_mean,0.0
diff_perf_player_rating_max,0.0
home_perf_key_passes_mean,0.0
home_perf_expected_assists_xa_max,0.0
home_perf_expected_assists_xa_mean,0.0
home_perf_expected_goals_xg_max,0.0
home_perf_expected_goals_xg_mean,0.0
home_perf_shots_on_target_max,0.0
home_perf_shots_on_target_mean,0.0
home_perf_shots_max,0.0
home_perf_shots_mean,0.0
home_perf_assists_max,0.0
home_perf_assists_mean,0.0
home_perf_goals_max,0.0
home_perf_key_passes_max,0.0
home_perf_red_cards_mean,0.0
home_perf_yellow_cards_max,0.0
home_perf_yellow_cards_mean,0.0
home_perf_fouls_suffered_max,0.0
home_perf_fouls_suffered_mean,0.0
home_perf_fouls_committed_max,0.0
home_perf_fouls_committed_mean,0.0
home_perf_defensive_actions_max,0.0
home_perf_defensive_actions_mean,0.0
home_perf_recoveries_max,0.0
home_perf_recoveries_mean,0.0
home_perf_aerial_duels_lost_max,0.0
home_perf_crosses_max,0.0
home_perf_aerial_duels_won_max,0.0
home_perf_aerial_duels_won_mean,0.0
home_perf_blocks_max,0.0
home_perf_blocks_mean,0.0
home_perf_clearances_max,0.0
home_perf_clearances_mean,0.0
home_perf_interceptions_max,0.0
home_perf_interceptions_mean,0.0
home_perf_tackles_max,0.0
home_perf_tackles_mean,0.0
home_perf_successful_crosses_max,0.0
home_perf_successful_crosses_mean,0.0
home_perf_aerial_duels_lost_mean,0.0
diff_perf_player_of_match_awards_max,0.0
diff_perf_player_of_match_awards_mean,0.0
diff_perf_total_minutes_tournament_max,0.0
diff_perf_total_minutes_tournament_mean,0.0
diff_perf_total_assists_tournament_max,0.0
diff_perf_total_assists_tournament_mean,0.0
diff_perf_total_goals_tournament_max,0.0
diff_perf_total_goals_tournament_mean,0.0
diff_perf_clutch_performance_score_max,0.0
diff_perf_clutch_performance_score_mean,0.0
diff_perf_consistency_score_max,0.0
home_perf_goals_mean,0.0
diff_perf_creativity_score_max,0.0
diff_perf_creativity_score_mean,0.0
diff_perf_pressure_resistance_max,0.0
diff_perf_pressure_resistance_mean,0.0
diff_perf_possession_impact_max,0.0
diff_perf_possession_impact_mean,0.0
diff_perf_defensive_contribution_max,0.0
diff_perf_defensive_contribution_mean,0.0
diff_perf_offensive_contribution_max,0.0
diff_perf_offensive_contribution_mean,0.0
diff_perf_performance_score_max,0.0
diff_perf_performance_score_mean,0.0
diff_perf_consistency_score_mean,0.0
home_perf_minutes_played_max,0.0
home_perf_minutes_played_mean,0.0
home_perf_goals_opponent_max,0.0
home_perf_goals_opponent_mean,0.0
home_perf_goals_team_max,0.0
home_perf_goals_team_mean,0.0
home_perf_market_value_eur_max,0.0
home_perf_market_value_eur_mean,0.0
home_perf_weight_kg_max,0.0
home_perf_weight_kg_mean,0.0
home_perf_height_cm_max,0.0
home_perf_height_cm_mean,0.0
diff_perf_tournament_rating_mean,0.0
home_perf_age_mean,0.0
home_perf_physicality_total,0.0
home_perf_defending_total,0.0
home_perf_dribbling_total,0.0
home_perf_passing_total,0.0
home_perf_shooting_total,0.0
home_perf_pace_total,0.0
home_perf_potential,0.0
home_perf_overall,0.0
diff_happiness_score_lag1,0.0
diff_happiness_score,0.0
diff_perf_tournament_rating_max,0.0
home_perf_age_max,0.0
