country_code,year,political_stability,gdp_per_capita
AZE,2022,-0.542048099999999,7770.594223351
BDI,2015,-2.03645089999999,254.402585226788
BDI,2016,-2.106715,232.937812100153
BDI,2017,-2.0904201,246.060725714184
BDI,2018,-1.62367939999999,245.661678332009
BDI,2019,-1.66929629999999,234.31061590725
BDI,2020,-1.49526809999999,255.8324539389
BDI,2021,-1.37835589999999,264.980379269655
BDI,2022,-1.28089529999999,302.992505263552
BEL,2015,0.6581707,40893.804537772
BEL,2016,0.4864269,41854.5498296444
BEL,2017,0.3647602,44035.3239358548
BEL,2018,0.4247021,47487.2100392561
BEL,2019,0.3774033,46716.6227467964
BEL,2020,0.3686413,45906.2875805246
BEL,2021,0.461917,51658.238294958
BEL,2022,0.2465264,50605.7496677086
BEN,2015,0.117506,1002.41886879614
BEN,2016,0.2420032,1010.5338961993
BEN,2017,0.3155886,1054.97408066814
BEN,2018,0.1649971,1151.7409703472
BEN,2019,-0.197976799999999,1130.82135339795
BEN,2020,-0.283192699999999,1200.19426557789
BEN,2021,-0.4106645,1318.65158075198
BEN,2022,-0.4373008,1266.42711031904
BFA,2015,-0.6795154,630.124750752312
BFA,2016,-0.9073878,663.742364842886
BFA,2017,-0.855665599999999,709.091535894695
BFA,2018,-0.961889999999999,777.465618514048
BFA,2019,-1.19570659999999,764.853077774946
BFA,2020,-1.4159765,825.237038782475
BFA,2021,-1.5801637,895.535288442991
BFA,2022,-1.82102069999999,827.330843486661
BGD,2015,-1.331635,1224.38647668165
BGD,2016,-1.3416192,1649.28380858601
BGD,2017,-1.3289506,1811.08221668646
BGD,2018,-1.02517179999999,1965.24372731467
BGD,2019,-0.996755,2129.79896954606
BGD,2020,-1.01518479999999,2248.85078828233
BGD,2021,-1.0535518,2482.84917843357
BGD,2022,-1.0954422,2716.48592780431
BGR,2015,0.1823906,7268.65445473873
BGR,2016,0.2073039,7822.49923292968
BGR,2017,0.4061393,8696.68930427924
BGR,2018,0.592909,9849.38397225174
BGR,2019,0.5788167,10353.7204584127
BGR,2020,0.4210468,10760.211975413
BGR,2021,0.4063981,12966.1457543396
BGR,2022,0.3269733,13999.1949530956
BHR,2015,-0.9584379,23734.0551143019
BHR,2016,-0.909807199999999,23800.001440631
BHR,2017,-1.0066263,24784.7693514607
BHR,2018,-0.8677102,26324.4066549559
BHR,2019,-0.603362,27259.7438599327
BHR,2020,-0.5964745,24342.8444554718
BHR,2021,-0.5041164,27147.8083882286
BHR,2022,-0.482549599999999,30470.5219276023
BHS,2015,0.7437356,30719.405417469
BHS,2016,0.7974457,30616.5363157284
BHS,2017,0.8186672,31875.4881749619
