name,country,tournament_year,position
Ángel Bossio,Argentina,1930,goal keeper
Juan Botasso,Argentina,1930,goal keeper
Roberto Cherro,Argentina,1930,forward
Alberto Chividini,Argentina,1930,defender
José Della Torre,Argentina,1930,defender
Attilio Demaría,Argentina,1930,forward
Juan Evaristo,Argentina,1930,midfielder
Mario Evaristo,Argentina,1930,forward
Manuel Ferreira,Argentina,1930,forward
Luis Monti,Argentina,1930,midfielder
Ramón Muttis,Argentina,1930,defender
Rodolfo Orlandini,Argentina,1930,midfielder
Fernando Paternoster,Argentina,1930,defender
Natalio Perinetti,Argentina,1930,forward
Carlos Peucelle,Argentina,1930,forward
Edmundo Piaggio,Argentina,1930,defender
Alejandro Scopelli,Argentina,1930,forward
Carlos Spadaro,Argentina,1930,forward
Guillermo Stábile,Argentina,1930,forward
Arico Suárez,Argentina,1930,midfielder
Francisco Varallo,Argentina,1930,forward
Adolfo Zumelzú,Argentina,1930,midfielder
Ferdinand Adams,Belgium,1930,forward
Arnold Badjou,Belgium,1930,goal keeper
Pierre Braine,Belgium,1930,midfielder
Alexis Chantraine,Belgium,1930,midfielder
Jean De Bie,Belgium,1930,goal keeper
Jean De Clercq,Belgium,1930,midfielder
Henri De Deken,Belgium,1930,defender
Gérard Delbeke,Belgium,1930,midfielder
Jan Diddens,Belgium,1930,forward
August Hellemans,Belgium,1930,midfielder
Nic Hoydonckx,Belgium,1930,defender
Jacques Moeschal,Belgium,1930,forward
Theodore Nouwens,Belgium,1930,defender
André Saeys,Belgium,1930,forward
Louis Versyp,Belgium,1930,forward
Bernard Voorhoof,Belgium,1930,forward
Mario Alborta,Bolivia,1930,forward
Juan Argote,Bolivia,1930,midfielder
Jesús Bermúdez,Bolivia,1930,goal keeper
Miguel Brito,Bolivia,1930,midfielder
José Bustamante,Bolivia,1930,forward
Casiano Chavarría,Bolivia,1930,defender
Segundo Durandal,Bolivia,1930,defender
René Fernández,Bolivia,1930,forward
Gumercindo Gómez,Bolivia,1930,forward
Diógenes Lara,Bolivia,1930,midfielder
Rafael Méndez,Bolivia,1930,forward
Miguel Murillo,Bolivia,1930,goal keeper
Constantino Noya,Bolivia,1930,midfielder
Eduardo Reyes Ortiz,Bolivia,1930,forward
Luis Reyes Peñaranda,Bolivia,1930,defender
Renato Sáinz,Bolivia,1930,midfielder
Jorge Valderrama,Bolivia,1930,midfielder
not applicable Araken,Brazil,1930,forward
not applicable Benedicto,Brazil,1930,forward
not applicable Benvenuto,Brazil,1930,midfielder
not applicable Brilhante,Brazil,1930,defender
not applicable Doca,Brazil,1930,forward
not applicable Fausto,Brazil,1930,defender
not applicable Fernando,Brazil,1930,midfielder
not applicable Fortes,Brazil,1930,midfielder
not applicable Hermógenes,Brazil,1930,defender
not applicable Itália,Brazil,1930,defender
not applicable Joel,Brazil,1930,goal keeper
Carvalho Leite,Brazil,1930,forward
not applicable Manoelzinho,Brazil,1930,forward
Ivan Mariz,Brazil,1930,midfielder
not applicable Moderato,Brazil,1930,forward
not applicable Nilo,Brazil,1930,forward
not applicable Oscarino,Brazil,1930,midfielder
not applicable Pamplona,Brazil,1930,midfielder
not applicable Poly,Brazil,1930,forward
not applicable Preguinho,Brazil,1930,forward
not applicable Russinho,Brazil,1930,forward
not applicable Teóphilo,Brazil,1930,forward
not applicable Velloso,Brazil,1930,goal keeper
not applicable Zé Luiz,Brazil,1930,defender
Juan Aguilera,Chile,1930,forward
Guillermo Arellano,Chile,1930,forward
Ernesto Chaparro,Chile,1930,defender
Arturo Coddou,Chile,1930,midfielder
Roberto Cortés,Chile,1930,goal keeper
Humberto Elgueta,Chile,1930,midfielder
César Espinoza,Chile,1930,goal keeper
Víctor Morales,Chile,1930,defender
Horacio Muñoz,Chile,1930,forward
Tomás Ojeda,Chile,1930,forward
Ulises Poirier,Chile,1930,defender
Guillermo Riveros,Chile,1930,defender
Guillermo Saavedra,Chile,1930,midfielder
Carlos Schneeberger,Chile,1930,forward
Guillermo Subiabre,Chile,1930,forward
Arturo Torres,Chile,1930,midfielder
Casimiro Torres,Chile,1930,midfielder
Carlos Vidal,Chile,1930,forward
Eberardo Villalobos,Chile,1930,forward
Numa Andoire,France,1930,defender
Marcel Capelle,France,1930,defender
Augustin Chantrel,France,1930,midfielder
Edmond Delfour,France,1930,midfielder
Célestin Delmer,France,1930,midfielder
Marcel Langiller,France,1930,forward
Jean Laurent,France,1930,defender
Lucien Laurent,France,1930,forward
Ernest Libérati,France,1930,forward
André Maschinot,France,1930,forward
Étienne Mattler,France,1930,defender
Marcel Pinel,France,1930,forward
André Tassin,France,1930,goal keeper
Alex Thépot,France,1930,goal keeper
Émile Veinante,France,1930,forward
Alexandre Villaplane,France,1930,midfielder
Efraín Amézcua,Mexico,1930,midfielder
Oscar Bonfiglio,Mexico,1930,goal keeper
Juan Carreño,Mexico,1930,forward
Jesús Castro,Mexico,1930,forward
Rafael Garza Gutiérrez,Mexico,1930,defender
Francisco Garza Gutiérrez,Mexico,1930,defender
Roberto Gayón,Mexico,1930,forward
Hilario López,Mexico,1930,forward
Dionisio Mejía,Mexico,1930,forward
Felipe Olivares,Mexico,1930,forward
Luis Pérez,Mexico,1930,forward
Raymundo Rodríguez,Mexico,1930,midfielder
Felipe Rosas,Mexico,1930,midfielder
Manuel Rosas,Mexico,1930,defender
José Ruíz,Mexico,1930,forward
Alfredo Viejo Sánchez,Mexico,1930,midfielder
Isidoro Sota,Mexico,1930,goal keeper
Francisco Aguirre,Paraguay,1930,midfielder
Pedro Benítez,Paraguay,1930,goal keeper
Santiago Benítez,Paraguay,1930,midfielder
Delfín Benítez Cáceres,Paraguay,1930,forward
Saguier Carreras,Paraguay,1930,forward
Eustacio Chamorro,Paraguay,1930,defender
Modesto Denis,Paraguay,1930,goal keeper
Eusebio Díaz,Paraguay,1930,midfielder
Diógenes Domínguez,Paraguay,1930,forward
Romildo Etcheverry,Paraguay,1930,midfielder
Diego Florentín,Paraguay,1930,midfielder
Salvador Flores,Paraguay,1930,defender
Tranquilino Garcete,Paraguay,1930,midfielder
Aurelio González,Paraguay,1930,forward
José Miracca,Paraguay,1930,defender
Lino Nessi,Paraguay,1930,forward
Quiterio Olmedo,Paraguay,1930,defender
Amadeo Ortega,Paraguay,1930,forward
Bernabé Rivera,Paraguay,1930,forward
Gerardo Romero,Paraguay,1930,forward
Luis Vargas Peña,Paraguay,1930,forward
Jacinto Villalba,Paraguay,1930,forward
Eduardo Astengo,Peru,1930,midfielder
Carlos Cillóniz,Peru,1930,midfielder
Mario de las Casas,Peru,1930,defender
Alberto Denegri,Peru,1930,midfielder
Arturo Fernández,Peru,1930,defender
Plácido Galindo,Peru,1930,midfielder
Domingo García,Peru,1930,midfielder
Jorge Góngora,Peru,1930,forward
José María Lavalle,Peru,1930,forward
Julio Lores,Peru,1930,forward
Antonio Maquilón,Peru,1930,defender
Demetrio Neyra,Peru,1930,forward
Pablo Pacheco,Peru,1930,forward
Jorge Pardon,Peru,1930,goal keeper
Julio Quintana,Peru,1930,midfielder
Lizardo Rodríguez Nue,Peru,1930,forward
Jorge Sarmiento,Peru,1930,forward
Alberto Soria,Peru,1930,defender
Luis Souza Ferreira,Peru,1930,forward
Juan Valdivieso,Peru,1930,goal keeper
Juan Alfonso Valle,Peru,1930,midfielder
Alejandro Villanueva,Peru,1930,forward
Ştefan Barbu,Romania,1930,forward
Rudolf Bürger,Romania,1930,defender
Iosif Czako,Romania,1930,defender
Adalbert Deşu,Romania,1930,forward
Alfred Eisenbeisser,Romania,1930,midfielder
Miklós Kovács,Romania,1930,forward
Ion Lǎpuşneanu,Romania,1930,goal keeper
László Raffinsky,Romania,1930,midfielder
Corneliu Robe,Romania,1930,midfielder
Constantin Stanciu,Romania,1930,forward
Adalbert Steiner,Romania,1930,defender
Ilie Subăşeanu,Romania,1930,forward
Emerich Vogl,Romania,1930,defender
Rudolf Wetzer,Romania,1930,forward
Samuel Zauber,Romania,1930,goal keeper
Andy Auld,United States,1930,midfielder
Mike Bookie,United States,1930,forward
Jim Brown,United States,1930,forward
Jimmy Douglas,United States,1930,goal keeper
Tom Florie,United States,1930,forward
Jimmy Gallagher,United States,1930,midfielder
James Gentle,United States,1930,forward
Billy Gonsalves,United States,1930,forward
Bart McGhee,United States,1930,forward
George Moorhouse,United States,1930,defender
Arnie Oliver,United States,1930,forward
Bert Patenaude,United States,1930,forward
Philip Slone,United States,1930,midfielder
Raphael Tracey,United States,1930,forward
Frank Vaughn,United States,1930,defender
Alexander Wood,United States,1930,defender
José Leandro Andrade,Uruguay,1930,midfielder
Peregrino Anselmo,Uruguay,1930,forward
Enrique Ballesteros,Uruguay,1930,goal keeper
Juan Carlos Calvo,Uruguay,1930,forward
Miguel Capuccini,Uruguay,1930,goal keeper
Héctor Castro,Uruguay,1930,forward
Pedro Cea,Uruguay,1930,forward
Pablo Dorado,Uruguay,1930,forward
Lorenzo Fernández,Uruguay,1930,midfielder
Álvaro Gestido,Uruguay,1930,midfielder
Santos Iriarte,Uruguay,1930,forward
Ernesto Mascheroni,Uruguay,1930,defender
Ángel Melogno,Uruguay,1930,midfielder
José Nasazzi,Uruguay,1930,defender
Pedro Petrone,Uruguay,1930,forward
Conduelo Píriz,Uruguay,1930,midfielder
Emilio Recoba,Uruguay,1930,defender
Carlos Riolfo,Uruguay,1930,midfielder
Zoilo Saldombide,Uruguay,1930,forward
Héctor Scarone,Uruguay,1930,forward
Domingo Tejera,Uruguay,1930,defender
Santos Urdinarán,Uruguay,1930,forward
Milorad Arsenijević,Serbia,1930,midfielder
Ivan Bek,Serbia,1930,forward
Momčilo Đokić,Serbia,1930,midfielder
Branislav Hrnjiček,Serbia,1930,midfielder
Milutin Ivković,Serbia,1930,defender
Milovan Jakšić,Serbia,1930,goal keeper
Blagoje Marjanović,Serbia,1930,forward
Bozidar Marković,Serbia,1930,forward
Dragoslav Mihajlović,Serbia,1930,defender
Dragutin Najdanović,Serbia,1930,forward
Branislav Sekulić,Serbia,1930,forward
Teofilo Spasojević,Serbia,1930,midfielder
Ljubiša Stefanović,Serbia,1930,defender
Milan Stojanović,Serbia,1930,goal keeper
Aleksandar Tirnanić,Serbia,1930,forward
Dragomir Tošić,Serbia,1930,defender
Đorđe Vujadinović,Serbia,1930,forward
Ernesto Albarracín,Argentina,1934,midfielder
Ramón Astudillo,Argentina,1934,defender
Ernesto Belis,Argentina,1934,defender
Enrique Chimento,Argentina,1934,defender
Alfredo Devincenzi,Argentina,1934,forward
Héctor Freschi,Argentina,1934,goal keeper
Alberto Galateo,Argentina,1934,forward
Ángel Grippa,Argentina,1934,goal keeper
Roberto Irañeta,Argentina,1934,forward
Luis Izzeta,Argentina,1934,forward
Arcadio López,Argentina,1934,midfielder
Alfonso Lorenzo,Argentina,1934,midfielder
José Nehin,Argentina,1934,midfielder
Juan Pedevilla,Argentina,1934,defender
Francisco Pérez,Argentina,1934,forward
Francisco Rúa,Argentina,1934,forward
Constantino Urbieta Sosa,Argentina,1934,midfielder
Federico Wilde,Argentina,1934,forward
Josef Bican,Austria,1934,forward
Georg Braun,Austria,1934,forward
Franz Cisar,Austria,1934,defender
Friederich Franzl,Austria,1934,goal keeper
Josef Hassmann,Austria,1934,forward
Leopold Hofmann,Austria,1934,midfielder
Johann Horvath,Austria,1934,forward
Anton Janda,Austria,1934,defender
Matthias Kaburek,Austria,1934,forward
Peter Platzer,Austria,1934,goal keeper
Rudolf Raftl,Austria,1934,goal keeper
Anton Schall,Austria,1934,forward
Willibald Schmaus,Austria,1934,defender
Karl Sesta,Austria,1934,defender
Matthias Sindelar,Austria,1934,forward
Josef Smistik,Austria,1934,midfielder
Josef Stroh,Austria,1934,forward
Johann Urbanek,Austria,1934,midfielder
Rudolf Viertl,Austria,1934,forward
Franz Wagner,Austria,1934,midfielder
Hans Walzhofer,Austria,1934,forward
Karl Zischek,Austria,1934,forward
Arnold Badjou,Belgium,1934,goal keeper
Désiré Bourgeois,Belgium,1934,midfielder
Jean Brichaut,Belgium,1934,forward
Jean Capelle,Belgium,1934,forward
Jean Claessens,Belgium,1934,midfielder
François Devries,Belgium,1934,forward
Laurent Grimmonprez,Belgium,1934,forward
August Hellemans,Belgium,1934,midfielder
Albert Heremans,Belgium,1934,forward
Constant Joacim,Belgium,1934,defender
Robert Lamoot,Belgium,1934,forward
François Ledent,Belgium,1934,forward
Jules Pappaert,Belgium,1934,defender
Frans Peeraer,Belgium,1934,midfielder
Victor Putmans,Belgium,1934,midfielder
René Simons,Belgium,1934,midfielder
Philibert Smellinckx,Belgium,1934,defender
Joseph Van Ingelgem,Belgium,1934,midfielder
André Vandewyer,Belgium,1934,goal keeper
Louis Versyp,Belgium,1934,forward
Bernard Voorhoof,Belgium,1934,forward
Félix Welkenhuysen,Belgium,1934,midfielder
not applicable Almeida,Brazil,1934,forward
not applicable Ariel,Brazil,1934,midfielder
not applicable Armandinho,Brazil,1934,forward
not applicable Áttila,Brazil,1934,forward
not applicable Canalli,Brazil,1934,midfielder
Waldemar de Brito,Brazil,1934,forward
not applicable Germano,Brazil,1934,goal keeper
Sylvio Hoffmann,Brazil,1934,defender
Carvalho Leite,Brazil,1934,forward
not applicable Leônidas,Brazil,1934,forward
not applicable Luisinho,Brazil,1934,forward
Luiz Luz,Brazil,1934,defender
not applicable Martim,Brazil,1934,midfielder
not applicable Octacílio,Brazil,1934,defender
not applicable Pamplona,Brazil,1934,midfielder
not applicable Patesko,Brazil,1934,forward
not applicable Pedrosa,Brazil,1934,goal keeper
not applicable Tinoco,Brazil,1934,midfielder
not applicable Waldyr,Brazil,1934,midfielder
Jaroslav Bouček,Czechia,1934,midfielder
Jaroslav Burgr,Czechia,1934,defender
Štefan Čambal,Czechia,1934,midfielder
Josef Čtyřoký,Czechia,1934,defender
Ferdinand Daučík,Czechia,1934,defender
František Junek,Czechia,1934,forward
Géza Kalocsay,Czechia,1934,forward
Vlastimil Kopecký,Czechia,1934,midfielder
Josef Košťálek,Czechia,1934,midfielder
Rudolf Krčil,Czechia,1934,midfielder
Oldřich Nejedlý,Czechia,1934,forward
Čestmír Patzel,Czechia,1934,goal keeper
František Plánička,Czechia,1934,goal keeper
Antonín Puč,Czechia,1934,forward
Josef Silný,Czechia,1934,forward
Adolf Šimperský,Czechia,1934,midfielder
Jiří Sobotka,Czechia,1934,forward
Erich Srbek,Czechia,1934,forward
František Šterc,Czechia,1934,forward
František Svoboda,Czechia,1934,forward
Antonín Vodička,Czechia,1934,midfielder
Ladislav Ženíšek,Czechia,1934,defender
Mohammed Bakhati,Egypt,1934,midfielder
Hassan El-Far,Egypt,1934,midfielder
Ali El-Kaf,Egypt,1934,defender
Mahmoud El-Nigero,Egypt,1934,forward
Yacout El-Soury,Egypt,1934,defender
Aziz Fahmy,Egypt,1934,goal keeper
Abdulrahman Fawzi,Egypt,1934,forward
Ahmed Halim Ibrahim,Egypt,1934,midfielder
not applicable Hamidu,Egypt,1934,defender
Mohammed Hassan,Egypt,1934,forward
Hafez Kasseb,Egypt,1934,midfielder
Mohamed Latif,Egypt,1934,forward
Labib Mahmoud,Egypt,1934,forward
Mustafa Mansour,Egypt,1934,goal keeper
Mahmoud Mokhtar,Egypt,1934,forward
Kamel Mosaoud,Egypt,1934,forward
Ismail Rafaat,Egypt,1934,midfielder
Hassan Raghab,Egypt,1934,midfielder
Mostafa Taha,Egypt,1934,forward
Moustafa Helmi Youssef,Egypt,1934,midfielder
Joseph Alcazar,France,1934,forward
Alfred Aston,France,1934,forward
Georges Beaucourt,France,1934,midfielder
Roger Courtois,France,1934,forward
Robert Défossé,France,1934,goal keeper
Edmond Delfour,France,1934,midfielder
Célestin Delmer,France,1934,midfielder
Louis Gabrillargues,France,1934,midfielder
Joseph Gonzales,France,1934,defender
Fritz Keller,France,1934,forward
Pierre Korb,France,1934,forward
Lucien Laurent,France,1934,forward
Noël Liétaer,France,1934,midfielder
René Llense,France,1934,goal keeper
Jacques Mairesse,France,1934,defender
Étienne Mattler,France,1934,defender
Jean Nicolas,France,1934,forward
Roger Rio,France,1934,midfielder
Alex Thépot,France,1934,goal keeper
Jules Vandooren,France,1934,defender
Émile Veinante,France,1934,forward
Georges Verriest,France,1934,midfielder
Ernst Albrecht,Germany,1934,midfielder
Jakob Bender,Germany,1934,midfielder
Fritz Buchloh,Germany,1934,goal keeper
Willy Busch,Germany,1934,defender
Edmund Conen,Germany,1934,forward
Franz Dienert,Germany,1934,forward
Rudolf Gramlich,Germany,1934,midfielder
Sigmund Haringer,Germany,1934,defender
Matthias Heidemann,Germany,1934,forward
Karl Hohmann,Germany,1934,midfielder
Hans Jakob,Germany,1934,goal keeper
Paul Janes,Germany,1934,defender
Stanislaus Kobierski,Germany,1934,forward
Willibald Kreß,Germany,1934,goal keeper
Ernst Lehner,Germany,1934,forward
Reinhold Münzenberg,Germany,1934,defender
Rudolf Noack,Germany,1934,forward
Hans Schwartz,Germany,1934,defender
Otto Siffling,Germany,1934,forward
Josef Streb,Germany,1934,forward
Fritz Szepan,Germany,1934,forward
Paul Zielinski,Germany,1934,midfielder
István Avar,Hungary,1934,forward
Sándor Bíró,Hungary,1934,defender
János Dudás,Hungary,1934,midfielder
Gyula Futó,Hungary,1934,defender
József Háda,Hungary,1934,goal keeper
Tibor Kemény,Hungary,1934,forward
Gyula Lázár,Hungary,1934,midfielder
Imre Markos,Hungary,1934,forward
István Palotás,Hungary,1934,midfielder
Gyula Polgár,Hungary,1934,midfielder
György Sárosi,Hungary,1934,forward
Rezső Somlai,Hungary,1934,midfielder
László Sternberg,Hungary,1934,defender
Antal Szabó,Hungary,1934,goal keeper
Gábor Szabó,Hungary,1934,forward
Antal Szalay,Hungary,1934,midfielder
György Szűcs,Hungary,1934,midfielder
István Tamássy,Hungary,1934,forward
Pál Teleki,Hungary,1934,forward
Géza Toldi,Hungary,1934,forward
József Vágó,Hungary,1934,defender
Jenő Vincze,Hungary,1934,forward
Luigi Allemandi,Italy,1934,defender
Pietro Arcari,Italy,1934,forward
Luigi Bertolini,Italy,1934,midfielder
Felice Borel,Italy,1934,forward
Umberto Caligaris,Italy,1934,defender
Armando Castellazzi,Italy,1934,midfielder
Giuseppe Cavanna,Italy,1934,goal keeper
Gianpiero Combi,Italy,1934,goal keeper
Attilio Demaría,Italy,1934,forward
Giovanni Ferrari,Italy,1934,forward
Attilio Ferraris,Italy,1934,midfielder
Enrique Guaita,Italy,1934,forward
Anfilogino Guarisi,Italy,1934,forward
Guido Masetti,Italy,1934,goal keeper
Giuseppe Meazza,Italy,1934,midfielder
Luis Monti,Italy,1934,midfielder
Eraldo Monzeglio,Italy,1934,defender
Raimundo Orsi,Italy,1934,forward
Mario Pizziolo,Italy,1934,midfielder
Virginio Rosetta,Italy,1934,defender
Angelo Schiavio,Italy,1934,forward
Mario Varglien,Italy,1934,midfielder
Wim Anderiesen,Netherlands,1934,midfielder
Beb Bakhuys,Netherlands,1934,forward
Jan Graafland,Netherlands,1934,forward
Leo Halle,Netherlands,1934,goal keeper
Wim Langendaal,Netherlands,1934,forward
Kees Mijnders,Netherlands,1934,forward
Jaap Mol,Netherlands,1934,forward
Toon Oprinsen,Netherlands,1934,midfielder
Bas Paauwe,Netherlands,1934,midfielder
Henk Pellikaan,Netherlands,1934,midfielder
Arend Schoemaker,Netherlands,1934,forward
Kick Smit,Netherlands,1934,forward
Gejus van der Meulen,Netherlands,1934,goal keeper
Jan van Diepenbeek,Netherlands,1934,defender
Puck van Heel,Netherlands,1934,midfielder
Adri van Male,Netherlands,1934,goal keeper
Joop van Nellen,Netherlands,1934,forward
Sjef van Run,Netherlands,1934,defender
Leen Vente,Netherlands,1934,forward
Manus Vrauwdeunt,Netherlands,1934,forward
Mauk Weber,Netherlands,1934,defender
Frank Wels,Netherlands,1934,forward
Gheorghe Albu,Romania,1934,defender
Iuliu Baratky,Romania,1934,forward
Silviu Bindea,Romania,1934,forward
Iuliu Bodola,Romania,1934,forward
Rudolf Bürger,Romania,1934,defender
Gheorghe Ciolac,Romania,1934,forward
Alexandru Cuedan,Romania,1934,defender
Vasile Deheleanu,Romania,1934,midfielder
Ștefan Dobay,Romania,1934,forward
Gusztáv Juhász,Romania,1934,midfielder
István Klimek,Romania,1934,forward
Stanislau Konrad,Romania,1934,goal keeper
Rudolf Kotormány,Romania,1934,midfielder
Nicolae Kovács,Romania,1934,forward
József Moravetz,Romania,1934,midfielder
Adalbert Püllöck,Romania,1934,goal keeper
Sándor Schwartz,Romania,1934,forward
Grațian Sepi,Romania,1934,forward
Lazăr Sfera,Romania,1934,defender
Emerich Vogl,Romania,1934,defender
Károly Weichelt,Romania,1934,midfielder
Vilmos Zombori,Romania,1934,goal keeper
Crisant Bosch,Spain,1934,midfielder
not applicable Chacho,Spain,1934,forward
Leonardo Cilaurren,Spain,1934,midfielder
not applicable Ciriaco,Spain,1934,defender
not applicable Fede,Spain,1934,midfielder
Guillermo Gorostiza,Spain,1934,forward
not applicable Hilario,Spain,1934,midfielder
Campanal I,Spain,1934,forward
José Iraragorri,Spain,1934,forward
not applicable Lafuente,Spain,1934,forward
Isidro Lángara,Spain,1934,forward
Simón Lecue,Spain,1934,midfielder
Martín Marculeta,Spain,1934,midfielder
Luis Marín Sabater,Spain,1934,forward
José Muguerza,Spain,1934,midfielder
Juan José Nogués,Spain,1934,goal keeper
Jacinto Quincoces,Spain,1934,defender
Luis Regueiro,Spain,1934,forward
Pedro Solé,Spain,1934,midfielder
Martí Ventolrà,Spain,1934,midfielder
Ramón Zabalo,Spain,1934,defender
Ricardo Zamora,Spain,1934,goal keeper
Ernst Andersson,Sweden,1934,midfielder
Otto Andersson,Sweden,1934,defender
Sven Andersson,Sweden,1934,defender
Nils Axelsson,Sweden,1934,defender
Lennart Bunke,Sweden,1934,forward
Rune Carlsson,Sweden,1934,midfielder
Victor Carlund,Sweden,1934,midfielder
Gösta Dunker,Sweden,1934,forward
Erik Granath,Sweden,1934,midfielder
Ragnar Gustavsson,Sweden,1934,forward
Carl-Erik Holmberg,Sweden,1934,forward
Sture Hult,Sweden,1934,goal keeper
Gunnar Jansson,Sweden,1934,forward
Carl Johnsson,Sweden,1934,midfielder
Sven Jonasson,Sweden,1934,forward
Tore Keller,Sweden,1934,forward
Knut Kroon,Sweden,1934,forward
Harry Lundahl,Sweden,1934,forward
Gunnar Olsson,Sweden,1934,forward
Nils Rosén,Sweden,1934,midfielder
Anders Rydberg,Sweden,1934,goal keeper
Arvid Thörn,Sweden,1934,forward
Eivar Widlund,Sweden,1934,goal keeper
André Abegglen,Switzerland,1934,forward
Renato Bizzozero,Switzerland,1934,goal keeper
Joseph Bossi,Switzerland,1934,forward
Albert Büche,Switzerland,1934,forward
Otto Bühler,Switzerland,1934,forward
Ernst Frick,Switzerland,1934,midfielder
Louis Gobet,Switzerland,1934,defender
Albert Guinchard,Switzerland,1934,midfielder
Erwin Hochsträsser,Switzerland,1934,forward
Willy Huber,Switzerland,1934,goal keeper
Ernst Hufschmid,Switzerland,1934,midfielder
Fernand Jaccard,Switzerland,1934,midfielder
Alfred Jäck,Switzerland,1934,forward
Willy Jäggi,Switzerland,1934,forward
Leopold Kielholz,Switzerland,1934,forward
Edmond Loichot,Switzerland,1934,midfielder
Severino Minelli,Switzerland,1934,defender
Arnaldo Ortelli,Switzerland,1934,defender
Raymond Passello,Switzerland,1934,forward
Frank Séchehaye,Switzerland,1934,goal keeper
Willy von Känel,Switzerland,1934,forward
Walter Weiler,Switzerland,1934,defender
Max Weiler,Switzerland,1934,defender
Tom Amrhein,United States,1934,midfielder
Ed Czerkiewicz,United States,1934,defender
Walter Dick,United States,1934,forward
Aldo Donelli,United States,1934,forward
Bill Fiedler,United States,1934,midfielder
Tom Florie,United States,1934,midfielder
Jimmy Gallagher,United States,1934,midfielder
Billy Gonsalves,United States,1934,midfielder
Al Harker,United States,1934,defender
Julius Hjulian,United States,1934,goal keeper
William Lehman,United States,1934,midfielder
Tom Lynch,United States,1934,midfielder
Joe Martinelli,United States,1934,defender
Willie McLean,United States,1934,forward
George Moorhouse,United States,1934,defender
Werner Nilsen,United States,1934,forward
Peter Pietras,United States,1934,midfielder
Herman Rapp,United States,1934,defender
Francis Ryan,United States,1934,forward
Arnold Badjou,Belgium,1938,goal keeper
Robert Braet,Belgium,1938,goal keeper
Raymond Braine,Belgium,1938,forward
Fernand Buyle,Belgium,1938,forward
Jean Capelle,Belgium,1938,forward
Arthur Ceuleers,Belgium,1938,forward
Pierre Dalem,Belgium,1938,midfielder
Alfons De Winter,Belgium,1938,midfielder
Jean Fievez,Belgium,1938,forward
Frans Gommers,Belgium,1938,defender
Paul Henry,Belgium,1938,midfielder
Hendrik Isemborghs,Belgium,1938,forward
Joseph Nelis,Belgium,1938,forward
Robert Paverick,Belgium,1938,defender
Jean Petit,Belgium,1938,defender
Corneel Seys,Belgium,1938,defender
Philibert Smellinckx,Belgium,1938,defender
Émile Stijnen,Belgium,1938,midfielder
John Van Alphen,Belgium,1938,midfielder
Charles Vanden Wouwer,Belgium,1938,forward
André Vandewyer,Belgium,1938,goal keeper
Bernard Voorhoof,Belgium,1938,forward
not applicable Afonsinho,Brazil,1938,midfielder
not applicable Argemiro,Brazil,1938,midfielder
not applicable Batatais,Brazil,1938,goal keeper
not applicable Brandão,Brazil,1938,midfielder
not applicable Britto,Brazil,1938,midfielder
Domingos da Guia,Brazil,1938,defender
not applicable Hércules,Brazil,1938,forward
not applicable Jaú,Brazil,1938,defender
not applicable Leônidas,Brazil,1938,forward
not applicable Lopes,Brazil,1938,forward
not applicable Luisinho,Brazil,1938,forward
not applicable Machado,Brazil,1938,defender
not applicable Martim,Brazil,1938,midfielder
not applicable Nariz,Brazil,1938,defender
not applicable Niginho,Brazil,1938,forward
not applicable Patesko,Brazil,1938,forward
not applicable Perácio,Brazil,1938,forward
not applicable Roberto,Brazil,1938,forward
not applicable Romeu,Brazil,1938,forward
not applicable Tim,Brazil,1938,forward
not applicable Walter,Brazil,1938,goal keeper
not applicable Zezé Procópio,Brazil,1938,midfielder
Juan Alonzo,Cuba,1938,forward
Joaquín Arias,Cuba,1938,midfielder
Juan Ayra,Cuba,1938,goal keeper
Jacinto Barquín,Cuba,1938,defender
Pedro Bergés,Cuba,1938,midfielder
Benito Carvajales,Cuba,1938,goal keeper
Manuel Chorens,Cuba,1938,defender
Tomás Fernández,Cuba,1938,forward
Pedro Ferrer,Cuba,1938,forward
José Magriñá,Cuba,1938,forward
Carlos Oliveira,Cuba,1938,forward
José Antonio Rodríguez,Cuba,1938,midfielder
Héctor Socorro,Cuba,1938,forward
Mario Sosa,Cuba,1938,forward
Juan Tuñas,Cuba,1938,forward
Jaroslav Bouček,Czechia,1938,midfielder
Vojtěch Bradáč,Czechia,1938,forward
Jaroslav Burgr,Czechia,1938,defender
Karel Burkert,Czechia,1938,goal keeper
Karel Černý,Czechia,1938,defender
Ferdinand Daučík,Czechia,1938,defender
Václav Horák,Czechia,1938,forward
Karel Kolský,Czechia,1938,midfielder
Vlastimil Kopecký,Czechia,1938,midfielder
Josef Košťálek,Czechia,1938,midfielder
Arnošt Kreuz,Czechia,1938,forward
Josef Ludl,Czechia,1938,forward
Oldřich Nejedlý,Czechia,1938,forward
Otakar Nožíř,Czechia,1938,midfielder
Josef Orth,Czechia,1938,defender
František Plánička,Czechia,1938,goal keeper
Antonín Puč,Czechia,1938,forward
Jan Říha,Czechia,1938,forward
Oldřich Rulc,Czechia,1938,forward
Karel Senecký,Czechia,1938,forward
Ladislav Šimůnek,Czechia,1938,forward
Josef Zeman,Czechia,1938,forward
Sutan Anwar,Indonesia,1938,midfielder
not applicable Dorst,Indonesia,1938,defender
Gerrit Faulhaber,Indonesia,1938,midfielder
Jan Harting,Indonesia,1938,defender
